Year,States,AgencyName,Population1,TotalOffenses,CrimesAgainstPersons,CrimesAgainstProperty,CrimesAgainstSociety,AssaultOffenses,AggravatedAssault,SimpleAssault,Intimidation,HomicideOffenses,MurderandNonnegligentManslaughter,NegligentManslaughter,JustifiableHomicide,HumanTraffickingOffenses,CommercialSexActs,InvoluntaryServitude,KidppingAbduction,SexOffenses,Rape,Sodomy,SexualAssaultWithanObject,Fondling,Incest,StatutoryRape,Arson,Bribery,BurglaryBreakingEntering,CounterfeitingForgery,DestructionDamageVandalismofProperty,Embezzlement,ExtortionBlackmail,FraudOffenses,FalsePretensesSwindleConfidence.Game,CreditCardAutomatedTellerMachineFraud,Impersotion,WelfareFraud,WireFraud,IdentityTheft,HackingComputerInvasion,LarcenyTheftOffenses,Pocketpicking,Pursestching,Shoplifting,TheftFromBuilding,TheftFromCoinOperatedMachineorDevice,TheftFromMotorVehicle,TheftofMotorVehiclePartsorAccessories,AllOtherLarceny,MotorVehicleTheft,Robbery,StolenPropertyOffenses,AnimalCruelty,DrugrcoticOffenses,DrugrcoticViolations,DrugEquipmentViolations,GamblingOffenses,BettingWagering,OperatingPromotingAssistingGambling,GamblingEquipmentViolations,SportsTampering,PornographyObsceneMaterial,ProstitutionOffenses,Prostitution,AssistingorPromotingProstitution,PurchasingProstitution,WeaponLawViolations
2020,North Carolina,Star,846,54,9,37,8,7,1,5,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,17,0,0,2,1,0,0,0,0,1,0,16,0,0,0,1,0,4,3,8,0,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0
2022,North Carolina,Star,812,49,13,34,2,12,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,11,0,0,5,5,0,0,0,0,0,0,10,0,0,0,0,0,1,0,9,2,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2020,Arkansas,Star City,2005,158,43,71,44,36,12,12,12,0,0,0,0,0,0,0,1,6,4,2,0,0,0,0,0,0,5,2,11,0,0,34,0,3,16,15,0,0,0,13,0,0,5,0,0,3,0,5,2,1,3,0,36,24,12,0,0,0,0,0,1,0,0,0,0,7
2021,Arkansas,Star City,1989,151,45,71,35,37,18,8,11,0,0,0,0,0,0,0,2,6,6,0,0,0,0,0,1,0,11,0,13,0,0,6,0,5,1,0,0,0,0,32,0,0,7,0,0,9,0,16,5,2,1,0,31,19,12,0,0,0,0,0,0,0,0,0,0,4
2022,Arkansas,Star City,2284,205,75,104,26,68,17,15,36,1,1,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,10,13,24,0,0,7,2,2,2,1,0,0,0,39,0,0,6,1,0,4,0,28,6,3,2,0,18,13,5,0,0,0,0,0,0,0,0,0,0,8
2021,Minnesota,Starbuck,1264,27,2,13,12,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,0,0,0,12,8,4,0,0,0,0,0,0,0,0,0,0,0
2022,Minnesota,Starbuck,1382,13,7,4,2,6,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
2020,Mississippi,Starkville,25854,1903,392,1359,152,381,33,286,62,2,2,0,0,0,0,0,1,8,3,0,0,3,0,2,3,1,402,17,238,14,2,204,141,43,6,0,14,0,0,438,0,0,246,1,2,0,0,189,32,4,4,0,135,119,16,0,0,0,0,0,0,0,0,0,0,17
2021,Mississippi,Starkville,25711,1377,307,918,152,297,37,227,33,5,5,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,215,8,236,16,0,119,88,21,2,0,8,0,0,286,0,1,104,0,1,0,0,180,36,1,1,0,133,111,22,1,0,0,1,0,2,0,0,0,0,16
2022,Mississippi,Starkville,24720,1575,370,1021,184,365,33,253,79,0,0,0,0,0,0,0,1,4,2,0,0,0,0,2,4,0,266,14,225,12,2,138,88,35,2,0,13,0,0,313,0,0,120,1,0,0,2,190,38,3,6,0,152,132,20,0,0,0,0,0,6,0,0,0,0,26
2021,Pennyslvania,State Police York County,0,2128,464,775,889,406,51,291,64,1,1,0,0,1,0,1,0,56,15,0,0,32,1,8,10,1,62,13,132,19,3,302,46,14,9,10,10,211,2,190,0,9,24,7,0,36,10,104,21,9,13,8,809,535,274,4,2,0,2,0,20,0,0,0,0,48
2021,Georgia,Statesboro,33722,2362,987,1050,325,922,80,776,66,3,3,0,0,0,0,0,15,47,21,7,3,16,0,0,8,0,100,35,57,0,3,140,84,24,1,0,0,30,1,636,0,3,121,34,1,215,16,246,33,29,9,4,264,226,38,0,0,0,0,0,1,14,3,11,0,42
2022,Georgia,Statesboro,33590,2293,1014,1045,234,971,66,847,58,2,2,0,0,0,0,0,16,25,12,2,0,9,0,2,4,0,102,40,61,0,2,167,99,36,0,0,0,31,1,596,1,2,148,29,0,141,24,251,43,21,9,2,197,161,36,0,0,0,0,0,6,1,1,0,0,28
2021,North Carolina,Statesville,28420,3718,1240,1991,487,1177,299,686,192,2,2,0,0,0,0,0,12,49,13,0,0,34,0,2,5,0,241,41,524,2,1,210,144,50,3,0,0,13,0,842,0,0,25,0,6,199,82,530,99,11,15,5,404,264,140,0,0,0,0,0,23,0,0,0,0,55
2020,Virginia,Staunton,25048,1679,388,1025,266,349,27,306,16,3,2,1,0,0,0,0,6,30,7,3,0,20,0,0,4,0,54,39,251,17,1,129,104,24,0,0,1,0,0,472,0,0,149,15,0,72,51,185,26,6,26,0,224,211,13,0,0,0,0,0,12,0,0,0,0,30
2021,Virginia,Staunton,25310,1550,446,874,230,404,45,318,41,0,0,0,0,0,0,0,11,31,7,2,0,22,0,0,5,0,32,17,160,18,5,152,91,50,0,0,11,0,0,439,4,3,114,23,0,92,40,163,24,2,20,0,178,169,9,0,0,0,0,0,28,0,0,0,0,24
2022,Virginia,Staunton,25611,1491,352,887,252,311,26,264,21,1,1,0,0,0,0,0,8,32,5,1,0,26,0,0,7,0,33,40,144,18,8,179,125,47,0,0,7,0,0,425,0,2,99,22,0,94,37,171,18,3,12,0,194,189,5,0,0,0,0,0,28,0,0,0,0,30
2020,Oregon,Stayton,8364,476,77,375,24,57,15,32,10,0,0,0,0,0,0,0,0,20,1,1,0,17,0,1,0,0,9,9,77,0,1,41,20,9,11,0,0,1,0,211,0,1,30,7,2,86,5,80,25,2,0,0,17,17,0,0,0,0,0,0,1,1,0,1,0,5
2021,Oregon,Stayton,8314,443,74,349,20,42,10,25,7,1,1,0,0,0,0,0,2,29,2,0,0,26,0,1,2,0,20,8,87,0,0,32,13,4,14,0,0,1,0,166,0,0,32,11,0,50,15,58,30,2,2,2,8,8,0,0,0,0,0,0,4,1,0,1,0,5
2022,Oregon,Stayton,8162,386,62,312,12,55,18,31,6,0,0,0,0,0,0,0,1,6,2,1,1,2,0,0,1,0,11,8,67,0,0,40,18,13,9,0,0,0,0,146,0,0,20,10,0,40,3,73,37,0,2,2,5,5,0,0,0,0,0,0,2,0,0,0,0,3
2022,Missouri,Ste. Genevieve,4686,225,109,94,22,103,8,86,9,0,0,0,0,0,0,0,1,5,2,3,0,0,0,0,0,0,4,6,19,0,0,6,1,3,0,0,1,1,0,56,12,0,10,7,0,12,0,15,3,0,0,0,21,15,6,0,0,0,0,0,0,0,0,0,0,1
2020,Colorado,Steamboat Springs,13345,663,139,426,98,116,9,68,39,0,0,0,0,0,0,0,5,18,9,1,0,8,0,0,2,1,13,8,114,0,6,118,23,15,22,0,9,45,4,155,0,0,39,24,0,35,6,51,8,1,0,39,36,27,9,0,0,0,0,0,4,2,2,0,0,17
2021,Colorado,Steamboat Springs,13282,837,196,541,100,168,29,95,44,0,0,0,0,0,0,0,10,18,10,0,0,7,0,1,2,0,17,8,122,2,8,215,34,13,13,1,11,140,3,150,0,0,31,37,0,29,8,45,15,2,0,35,57,34,23,0,0,0,0,0,1,0,0,0,0,7
2022,Colorado,Steamboat Springs,13593,710,203,422,85,179,16,118,45,0,0,0,0,3,3,0,4,17,11,1,3,2,0,0,1,1,25,6,92,1,8,99,43,13,18,0,14,6,5,173,1,0,45,48,0,19,7,53,12,1,3,15,54,30,24,0,0,0,0,0,4,0,0,0,0,12
2020,North Dakota,Steele,711,13,8,5,0,6,2,3,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Missouri,Steele,1825,159,32,89,38,30,9,21,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,16,1,15,0,0,4,0,2,0,0,0,2,0,43,0,0,4,2,1,8,1,27,5,4,1,1,32,30,2,0,0,0,0,0,0,0,0,0,0,5
