Year,States,AgencyName,Population1,TotalOffenses,CrimesAgainstPersons,CrimesAgainstProperty,CrimesAgainstSociety,AssaultOffenses,AggravatedAssault,SimpleAssault,Intimidation,HomicideOffenses,MurderandNonnegligentManslaughter,NegligentManslaughter,JustifiableHomicide,HumanTraffickingOffenses,CommercialSexActs,InvoluntaryServitude,KidppingAbduction,SexOffenses,Rape,Sodomy,SexualAssaultWithanObject,Fondling,Incest,StatutoryRape,Arson,Bribery,BurglaryBreakingEntering,CounterfeitingForgery,DestructionDamageVandalismofProperty,Embezzlement,ExtortionBlackmail,FraudOffenses,FalsePretensesSwindleConfidence.Game,CreditCardAutomatedTellerMachineFraud,Impersotion,WelfareFraud,WireFraud,IdentityTheft,HackingComputerInvasion,LarcenyTheftOffenses,Pocketpicking,Pursestching,Shoplifting,TheftFromBuilding,TheftFromCoinOperatedMachineorDevice,TheftFromMotorVehicle,TheftofMotorVehiclePartsorAccessories,AllOtherLarceny,MotorVehicleTheft,Robbery,StolenPropertyOffenses,AnimalCruelty,DrugrcoticOffenses,DrugrcoticViolations,DrugEquipmentViolations,GamblingOffenses,BettingWagering,OperatingPromotingAssistingGambling,GamblingEquipmentViolations,SportsTampering,PornographyObsceneMaterial,ProstitutionOffenses,Prostitution,AssistingorPromotingProstitution,PurchasingProstitution,WeaponLawViolations
2020,Georgia,Abbeville,2654,9,2,6,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2020,South Carolina,Abbeville,4990,424,105,222,97,89,16,73,0,0,0,0,0,0,0,0,5,11,3,0,1,4,0,3,0,0,21,10,38,0,0,13,3,8,0,0,1,1,0,120,0,0,31,0,0,24,2,63,16,2,2,0,72,69,3,0,0,0,0,0,3,0,0,0,0,22
2021,Alabama,Abbeville,2539,364,86,113,165,85,3,39,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,33,0,0,12,4,3,2,0,0,3,0,40,0,0,5,4,0,3,2,26,5,0,8,0,150,106,44,0,0,0,0,0,0,0,0,0,0,15
2021,Louisiana,Abbeville,11898,807,322,348,137,300,91,201,8,3,2,1,0,0,0,0,10,9,2,0,0,6,0,1,0,1,37,11,36,1,1,8,5,2,1,0,0,0,0,199,0,0,76,2,0,9,0,112,30,6,18,0,100,76,24,0,0,0,0,0,3,0,0,0,0,34
2021,South Carolina,Abbeville,4932,337,114,172,51,110,31,78,1,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,19,6,45,0,0,8,2,5,0,0,0,1,0,77,0,0,16,0,0,7,10,44,11,3,3,1,28,28,0,0,0,0,0,0,1,0,0,0,0,21
2022,Alabama,Abbeville,2390,301,96,76,129,96,13,60,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,13,0,0,10,3,3,1,0,0,3,0,35,0,0,4,4,0,3,11,13,2,0,4,3,111,65,46,0,0,0,0,0,0,0,0,0,0,15
2022,Louisiana,Abbeville,10968,634,244,284,106,230,73,150,7,2,2,0,0,0,0,0,1,11,4,0,1,5,0,1,0,0,18,3,22,1,0,6,3,0,2,0,1,0,0,198,0,0,115,1,0,3,0,79,21,5,10,0,76,55,21,0,0,0,0,0,5,0,0,0,0,25
2022,South Carolina,Abbeville,4868,296,106,136,54,92,23,69,0,3,3,0,0,0,0,0,7,4,2,0,0,0,0,2,1,0,11,9,24,1,0,3,0,3,0,0,0,0,0,79,0,0,7,2,0,8,3,59,7,0,1,1,27,27,0,0,0,0,0,0,1,0,0,0,0,25
2020,Idaho,Aberdeen,1975,65,22,39,4,22,5,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,8,5,1,0,0,0,2,0,11,0,0,0,0,0,0,0,11,3,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1
2020,North Carolina,Aberdeen,8189,722,110,453,159,102,13,84,5,0,0,0,0,0,0,0,3,5,2,0,0,3,0,0,3,0,25,6,73,2,1,72,41,10,1,0,5,15,0,250,0,0,120,2,0,43,14,71,9,6,6,0,146,90,56,0,0,0,0,0,0,0,0,0,0,13
2020,South Dakota,Aberdeen,28494,2166,647,996,523,569,125,376,68,2,1,0,1,0,0,0,11,65,27,4,0,21,1,12,1,0,150,28,235,1,1,45,12,12,5,0,4,11,1,480,1,7,92,17,2,86,5,270,48,5,2,0,475,269,206,0,0,0,0,0,15,3,3,0,0,30
2020,Washington,Aberdeen,16744,1734,388,1005,341,346,37,267,42,0,0,0,0,0,0,0,4,38,11,0,0,27,0,0,6,1,123,39,125,0,1,131,20,15,13,0,1,82,0,487,0,6,335,23,2,31,11,79,62,8,22,1,274,130,144,0,0,0,0,0,4,16,16,0,0,46
2021,North Carolina,Aberdeen,8576,784,159,404,221,151,23,94,34,1,1,0,0,0,0,0,1,6,3,1,0,2,0,0,1,0,19,9,74,7,0,103,41,11,3,0,3,45,0,173,0,0,87,3,0,25,14,44,5,4,9,0,197,123,74,0,0,0,0,0,0,0,0,0,0,24
2021,Washington,Aberdeen,16824,1259,325,813,121,271,27,223,21,1,1,0,0,0,0,0,3,50,17,0,0,33,0,0,6,0,120,23,102,0,1,29,12,6,11,0,0,0,0,411,0,2,280,3,0,44,4,78,97,9,15,1,85,19,66,0,0,0,0,0,1,0,0,0,0,34
2022,North Carolina,Aberdeen,9528,890,170,482,238,163,20,107,36,0,0,0,0,0,0,0,3,4,2,0,0,2,0,0,2,0,26,5,80,5,3,101,54,10,3,0,7,27,0,228,0,0,112,1,1,19,21,74,15,6,11,0,219,129,90,0,0,0,0,0,0,0,0,0,0,19
2022,South Dakota,Aberdeen,28206,1510,511,652,347,439,74,329,36,0,0,0,0,0,0,0,11,61,25,2,0,21,2,11,5,1,83,12,137,3,1,43,18,8,4,0,4,9,0,330,1,8,65,19,0,23,3,211,34,2,1,4,289,171,118,0,0,0,0,0,25,4,4,0,0,25
2022,Washington,Aberdeen,17338,1462,381,990,91,335,44,267,24,0,0,0,0,0,0,0,1,45,15,0,0,30,0,0,6,0,139,9,189,1,0,37,22,1,13,1,0,0,0,482,0,2,355,0,2,22,4,97,95,17,15,1,56,31,25,0,0,0,0,0,3,1,1,0,0,30
2022,New Jersey,Aberdeen Township,19345,383,137,219,27,133,22,94,17,0,0,0,0,0,0,0,1,3,0,0,0,2,0,1,0,0,16,9,11,0,8,77,32,7,0,0,6,29,3,84,2,0,17,8,0,10,17,30,12,2,0,0,21,12,9,0,0,0,0,0,2,0,0,0,0,4
2020,Texas,Abernathy,2694,45,13,25,7,10,1,9,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,3,6,5,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,3,3,1,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0
2021,Texas,Abernathy,2678,31,8,18,5,4,1,3,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,2,2,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3
2022,Texas,Abernathy,2783,32,12,16,4,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
2020,Texas,Abilene,124061,8069,3106,4050,913,2936,333,2100,503,3,3,0,0,1,1,0,6,160,64,32,21,37,0,6,10,2,429,102,747,21,1,435,250,180,4,0,0,1,0,2032,1,2,596,153,4,496,79,701,208,63,0,4,728,567,161,0,0,0,0,0,78,14,0,13,1,89
2021,Kansas,Abilene,6055,274,56,129,89,49,8,34,7,0,0,0,0,0,0,0,3,4,1,0,0,3,0,0,3,0,7,14,28,0,0,32,29,3,0,0,0,0,0,42,0,0,11,10,0,5,1,15,3,0,0,0,88,44,44,0,0,0,0,0,0,0,0,0,0,1
2021,Texas,Abilene,125088,8238,3099,4109,1030,2901,391,2067,443,8,7,1,0,2,2,0,8,180,83,23,14,51,0,9,9,3,455,107,813,18,0,477,175,189,5,0,3,105,0,1936,1,0,376,198,5,538,160,658,210,81,0,7,717,555,162,0,0,0,0,0,98,25,2,10,13,183
2022,Kansas,Abilene,6489,370,75,169,126,65,10,47,8,0,0,0,0,0,0,0,3,7,4,0,0,2,1,0,1,0,11,9,47,1,1,29,23,6,0,0,0,0,0,61,0,0,6,13,2,7,3,30,8,0,1,0,120,61,59,0,0,0,0,0,2,0,0,0,0,4
2022,Texas,Abilene,125186,8250,3040,4100,1110,2873,397,2143,333,12,7,5,0,0,0,0,2,153,63,19,25,46,0,0,10,0,442,144,828,29,1,486,155,198,9,0,0,124,0,1878,1,1,390,311,9,485,135,546,200,82,0,6,743,562,181,0,0,0,0,0,142,15,0,9,6,204
2020,Virginia,Abingdon,7828,300,77,172,51,72,5,64,3,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,6,7,29,6,0,26,19,2,2,0,1,2,0,89,0,0,14,3,1,10,8,53,9,0,0,0,46,39,7,0,0,0,0,0,1,0,0,0,0,4
2021,Virginia,Abingdon,7820,317,59,219,39,52,3,48,1,0,0,0,0,1,0,1,1,5,3,0,0,2,0,0,1,0,5,5,58,4,1,27,11,9,2,0,2,3,0,109,0,0,6,3,0,23,16,61,8,1,0,1,31,27,4,0,0,0,0,0,2,0,0,0,0,5
2022,Virginia,Abingdon,8265,349,102,205,42,95,11,78,6,0,0,0,0,0,0,0,0,7,4,0,1,1,0,1,0,0,13,9,36,5,0,27,13,7,2,0,0,5,0,105,1,0,30,4,0,12,13,45,9,0,1,0,39,32,7,0,0,0,0,0,0,0,0,0,0,3
2020,Massachusetts,Abington,17306,381,78,259,44,64,23,11,30,0,0,0,0,0,0,0,0,14,9,2,0,1,0,2,0,0,11,12,36,2,0,80,56,2,20,0,0,2,0,95,0,0,47,11,0,7,1,29,15,5,3,0,32,32,0,0,0,0,0,0,7,0,0,0,0,5
2021,Massachusetts,Abington,17623,396,73,275,48,63,26,22,15,0,0,0,0,1,1,0,0,9,2,0,0,0,2,5,1,0,12,5,54,3,1,58,41,3,13,0,0,1,0,116,0,1,56,7,0,17,2,33,16,1,8,0,41,41,0,0,0,0,0,0,3,1,0,1,0,3
2022,Massachusetts,Abington,17886,411,91,287,33,80,20,48,12,0,0,0,0,0,0,0,0,11,2,1,0,1,1,6,1,0,19,20,47,1,1,38,21,5,12,0,0,0,0,126,0,0,41,6,0,6,5,68,20,4,10,0,27,27,0,0,0,0,0,0,2,0,0,0,0,4
2021,New Jersey,Absecon,8820,690,164,477,49,147,14,111,22,1,0,1,0,0,0,0,4,12,5,0,2,4,0,1,3,0,27,20,23,2,3,109,38,16,9,0,13,27,6,268,0,0,100,29,0,65,9,65,7,1,14,7,35,23,12,0,0,0,0,0,0,1,1,0,0,6
2022,New Jersey,Absecon,9153,769,183,478,108,152,19,88,45,0,0,0,0,0,0,0,19,12,5,2,0,5,0,0,0,0,33,12,58,0,1,71,17,20,6,1,5,19,3,268,0,0,107,15,0,50,17,79,14,4,17,2,85,50,35,0,0,0,0,0,1,1,0,1,0,19
2020,Oklahoma,Achille,545,36,2,4,30,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,17,11,0,0,0,0,0,0,0,0,0,0,2
2021,Oklahoma,Achille,556,18,3,3,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,12,7,5,0,0,0,0,0,0,0,0,0,0,0
2022,Oklahoma,Achille,411,7,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,Mississippi,Ackerman,1407,47,15,19,13,14,0,14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,2,1,0,3,2,1,0,0,0,0,0,9,0,0,2,0,0,1,0,6,0,0,0,0,13,11,2,0,0,0,0,0,0,0,0,0,0,0
2022,Mississippi,Ackerman,1515,48,9,23,16,8,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,4,0,0,0,0,0,0,8,0,0,2,0,0,0,0,6,3,1,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2020,Massachusetts,Acton,23728,811,78,726,7,75,14,45,16,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,2,0,15,6,61,2,7,517,105,25,0,0,2,385,0,109,0,0,9,22,0,14,8,56,4,1,2,0,5,5,0,0,0,0,0,0,2,0,0,0,0,0
2021,Massachusetts,Acton,23853,440,67,362,11,63,4,51,8,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,16,7,44,1,11,179,78,17,1,0,1,82,0,97,0,0,8,19,0,11,14,45,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,5
2022,Massachusetts,Acton,23833,344,75,264,5,69,12,43,14,0,0,0,0,0,0,0,0,6,0,2,0,1,0,3,0,0,14,12,20,1,3,97,46,2,18,0,0,31,0,110,0,0,3,20,0,9,9,69,4,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
2020,Massachusetts,Acushnet,10604,220,63,148,9,55,12,23,20,0,0,0,0,0,0,0,1,7,2,2,0,0,0,3,1,0,4,1,24,1,0,93,20,0,72,0,0,1,0,17,0,0,0,7,0,4,0,6,4,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,3
2021,Massachusetts,Acushnet,10798,201,60,128,13,50,7,32,11,0,0,0,0,0,0,0,0,10,1,3,0,2,2,2,1,0,3,4,41,0,0,48,26,3,18,0,0,1,0,24,0,0,0,8,0,4,1,11,4,1,2,0,11,11,0,0,0,0,0,0,1,0,0,0,0,1
2022,Massachusetts,Acushnet,10612,129,43,79,7,32,5,19,8,0,0,0,0,0,0,0,0,11,4,1,0,1,1,4,0,0,7,1,23,1,0,19,12,0,6,0,0,1,0,22,0,0,1,5,0,7,0,9,5,0,1,0,6,5,1,0,0,0,0,0,1,0,0,0,0,0
2020,Georgia,Acworth,23085,737,187,448,102,175,37,105,33,1,1,0,0,0,0,0,2,9,1,1,0,6,0,1,0,0,19,3,19,0,1,77,26,19,29,0,1,0,2,293,0,0,128,1,0,32,3,129,14,3,19,0,95,84,11,0,0,0,0,0,1,0,0,0,0,6
2021,Georgia,Acworth,22956,790,171,495,124,155,20,101,34,1,1,0,0,0,0,0,6,9,1,0,0,8,0,0,1,0,24,7,29,1,2,107,54,30,19,0,0,3,1,280,0,1,103,0,0,26,0,150,23,2,19,0,104,89,15,0,0,0,0,0,5,0,0,0,0,15
2022,Georgia,Acworth,22170,655,161,425,69,141,15,98,28,2,2,0,0,3,3,0,2,13,2,3,0,7,0,1,0,0,12,0,38,1,1,87,48,16,17,0,0,4,2,264,0,0,106,2,0,25,1,130,9,5,8,1,61,54,7,0,0,0,0,0,2,0,0,0,0,5
2020,Ohio,Ada,5500,84,26,55,3,26,5,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,2,1,0,0,0,0,1,0,42,0,1,2,6,0,10,2,21,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1
2021,Oklahoma,Ada,17280,1160,255,643,262,234,38,159,37,1,1,0,0,0,0,0,9,11,9,1,0,1,0,0,3,0,107,24,98,1,2,35,13,10,7,1,0,1,3,313,0,0,98,35,0,102,19,59,41,9,10,5,225,161,64,0,0,0,0,0,3,1,1,0,0,28
2022,Minnesota,Ada,1741,10,6,2,2,5,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2022,Ohio,Ada,5238,49,24,19,6,19,0,11,8,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,1,0,7,0,0,2,2,0,0,0,0,0,0,9,0,0,1,0,0,0,1,7,0,0,0,1,4,2,2,0,0,0,0,0,1,0,0,0,0,0
2022,Oklahoma,Ada,16946,1122,233,607,282,228,23,170,35,1,1,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,70,32,90,7,1,54,18,24,6,0,0,5,1,292,0,0,90,35,0,83,23,61,52,3,6,2,245,168,77,0,0,0,0,0,3,0,0,0,0,32
2020,Oklahoma,Adair,809,37,9,19,9,5,0,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,3,0,5,0,0,1,0,0,0,0,1,0,0,8,0,0,2,3,0,1,0,2,1,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,1
2021,Oklahoma,Adair,804,47,17,14,16,17,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,1,1,2,2,0,1,0,13,10,3,0,0,0,0,0,0,0,0,0,0,3
2022,Oklahoma,Adair,732,24,4,15,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,1,1,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2
2020,Georgia,Adairsville,4998,241,43,113,85,38,8,22,8,0,0,0,0,0,0,0,0,5,1,0,1,3,0,0,1,0,3,11,22,0,0,13,6,6,1,0,0,0,0,60,0,0,3,3,0,6,0,48,3,0,0,0,83,56,27,0,0,0,0,0,0,0,0,0,0,2
2021,Georgia,Adairsville,5094,360,51,158,151,44,9,35,0,0,0,0,0,0,0,0,3,4,1,2,0,1,0,0,0,0,10,8,30,0,0,15,15,0,0,0,0,0,0,81,1,0,10,0,0,9,0,61,14,0,0,0,142,95,47,0,0,0,0,0,1,0,0,0,0,8
2022,Georgia,Adairsville,5063,371,57,156,158,47,6,41,0,0,0,0,0,0,0,0,2,8,1,2,0,5,0,0,0,0,5,12,33,0,0,13,13,0,0,0,0,0,0,88,1,0,5,1,0,22,0,59,4,1,0,0,147,115,32,0,0,0,0,0,1,0,0,0,0,10
2021,Kentucky,Adairville,893,3,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Kentucky,Adairville,876,15,5,2,8,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0
2020,Massachusetts,Adams,7959,308,88,199,21,68,7,48,13,0,0,0,0,0,0,0,1,19,6,0,0,9,0,4,2,0,16,5,62,0,1,26,15,1,10,0,0,0,0,76,1,1,7,18,0,13,0,36,7,1,3,0,9,9,0,0,0,0,0,0,4,0,0,0,0,8
2020,Wisconsin,Adams,1884,104,20,67,17,14,3,11,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,2,0,0,2,2,20,0,0,10,9,0,0,0,1,0,0,33,0,2,8,0,0,2,0,21,0,0,0,0,16,9,7,0,0,0,0,0,0,0,0,0,0,1
2021,Massachusetts,Adams,7904,327,113,201,13,91,40,44,7,1,1,0,0,0,0,0,0,21,6,0,0,9,2,4,0,0,19,3,71,0,0,32,21,1,9,0,0,1,0,68,2,0,9,6,0,7,0,44,5,1,2,0,6,6,0,0,0,0,0,0,4,0,0,0,0,3
2021,Wisconsin,Adams,1898,143,28,94,21,23,2,15,6,0,0,0,0,0,0,0,1,4,3,0,0,1,0,0,0,0,3,1,22,0,0,12,9,0,1,0,0,2,0,54,0,0,4,0,0,0,2,48,2,0,0,0,18,8,10,0,0,0,0,0,2,0,0,0,0,1
2022,Massachusetts,Adams,8073,327,99,208,20,82,20,48,14,0,0,0,0,0,0,0,1,16,4,0,0,6,2,4,0,0,31,4,62,4,0,19,14,3,2,0,0,0,0,73,0,0,9,9,0,11,2,42,6,5,4,0,8,8,0,0,0,0,0,0,9,0,0,0,0,3
2022,Wisconsin,Adams,1776,146,16,94,36,13,3,9,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,6,1,22,0,0,9,8,0,0,0,0,1,0,52,0,0,1,0,1,2,0,48,2,0,1,0,32,17,15,0,0,0,0,0,2,0,0,0,0,2
2020,Tennessee,Adamsville,2161,87,11,35,41,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,7,0,0,5,0,0,4,0,0,1,0,13,0,0,1,5,1,2,2,2,4,1,0,0,41,29,12,0,0,0,0,0,0,0,0,0,0,0
2021,Tennessee,Adamsville,2159,96,15,18,63,14,5,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,5,0,0,5,1,3,1,0,0,0,0,4,0,0,0,1,0,0,1,2,1,0,0,1,62,40,22,0,0,0,0,0,0,0,0,0,0,0
2022,Alabama,Adamsville,4233,528,72,332,124,69,18,37,14,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,19,7,35,0,0,37,14,8,5,1,1,8,0,203,8,0,127,15,0,8,3,42,17,0,14,1,113,59,54,1,1,0,0,0,2,0,0,0,0,7
2022,Tennessee,Adamsville,2244,109,33,46,30,30,12,16,2,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,10,5,6,0,0,3,1,0,1,0,1,0,0,19,0,0,4,4,0,1,5,5,2,1,0,0,25,15,10,0,0,0,0,0,0,0,0,0,0,5
2022,Louisiana,Addis,7438,133,38,54,41,33,6,23,4,0,0,0,0,0,0,0,0,5,4,0,0,1,0,0,0,1,7,0,12,0,0,4,1,2,1,0,0,0,0,22,0,0,0,0,0,0,0,22,4,1,3,5,27,21,6,0,0,0,0,0,2,0,0,0,0,7
2020,Texas,Addison,16778,2086,382,1419,285,363,43,250,70,0,0,0,0,0,0,0,6,13,7,1,1,3,0,1,0,0,116,53,164,0,0,146,24,59,1,0,0,62,0,708,1,2,0,26,0,318,0,361,212,20,0,2,241,121,120,0,0,0,0,0,1,0,0,0,0,41
2021,Texas,Addison,16540,2437,514,1565,358,469,56,318,95,3,3,0,0,1,1,0,11,30,19,1,0,8,0,2,0,0,128,37,174,1,0,173,21,73,0,0,0,78,1,815,2,0,0,19,1,267,125,401,213,24,0,3,302,151,151,0,0,0,0,0,0,0,0,0,0,53
2022,Alabama,Addison,672,72,20,41,11,20,5,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,6,1,1,0,0,0,4,0,15,1,0,0,3,0,1,0,10,2,0,2,0,10,6,4,0,0,0,0,0,1,0,0,0,0,0
2022,Texas,Addison,17531,2651,561,1776,314,529,55,394,80,1,1,0,0,0,0,0,12,19,14,1,0,4,0,0,2,0,109,24,172,5,0,128,36,21,2,0,0,67,2,1093,0,0,1,23,1,315,289,464,231,12,0,0,276,136,140,0,0,0,0,0,4,0,0,0,0,34
2020,Michigan,Addison Township,6638,56,16,38,2,16,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,14,3,4,0,2,0,5,0,15,0,0,0,4,0,1,0,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,Michigan,Addison Township,6603,35,17,18,0,17,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,8,4,3,0,0,0,1,0,4,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Michigan,Addison Township,6223,45,19,25,1,16,2,12,2,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,2,0,0,14,6,4,0,0,0,4,0,9,0,0,0,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2021,Ohio,Addyston,936,51,23,12,16,23,2,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,3,1,3,0,0,1,0,9,8,1,0,0,0,0,0,0,0,0,0,0,7
2020,Iowa,Adel,5696,269,85,157,27,78,12,34,32,0,0,0,0,0,0,0,1,6,1,0,1,4,0,0,2,2,19,0,38,0,0,43,34,4,2,0,3,0,0,48,0,0,3,9,1,6,6,23,5,0,0,0,25,13,12,0,0,0,0,0,0,0,0,0,0,2
2021,Iowa,Adel,5845,306,65,210,31,61,4,22,35,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,20,4,43,0,0,33,18,10,1,0,3,1,0,96,0,0,2,9,1,51,5,28,12,0,1,1,27,14,13,0,0,0,0,0,2,0,0,0,0,1
2022,Iowa,Adel,6377,271,72,152,47,65,4,40,21,0,0,0,0,0,0,0,1,6,3,2,0,1,0,0,1,0,14,3,46,2,5,22,13,0,0,0,3,6,0,52,0,0,2,11,1,11,8,19,5,1,1,3,42,22,20,0,0,0,0,0,2,0,0,0,0,0
2020,Michigan,Adrian,20540,1533,644,791,98,579,90,437,52,4,2,2,0,0,0,0,12,49,24,2,5,18,0,0,4,0,73,16,171,8,2,111,44,34,1,1,12,18,1,347,1,5,126,101,0,59,3,52,37,17,5,4,56,48,8,0,0,0,0,0,5,1,0,1,0,32
2021,Michigan,Adrian,20371,1385,598,687,100,529,85,372,72,3,2,1,0,0,0,0,1,65,25,4,4,32,0,0,0,0,89,14,144,5,2,84,35,26,0,0,10,11,2,294,0,0,71,81,1,36,59,46,39,11,5,4,56,50,6,0,0,0,0,0,4,0,0,0,0,36
2021,Missouri,Adrian,1594,43,13,23,7,11,1,7,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,6,0,2,0,0,1,0,1,0,0,0,0,0,13,0,0,1,3,0,1,3,5,1,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,1
2022,Michigan,Adrian,20407,1382,584,674,124,536,91,384,61,3,0,3,0,0,0,0,1,44,14,4,2,24,0,0,4,0,54,21,150,3,5,105,50,28,0,1,13,12,1,287,0,0,97,67,1,50,20,52,35,7,3,5,82,71,11,0,0,0,0,0,10,1,0,1,0,26
2022,Minnesota,Adrian,1189,13,4,9,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Missouri,Adrian,1734,41,16,22,3,16,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,2,2,1,0,0,0,0,12,0,0,1,2,0,1,2,6,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
2020,Michigan,Adrian Township,6237,57,31,22,4,30,1,26,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,6,0,0,8,5,2,0,0,0,1,0,5,0,0,0,0,0,1,0,4,0,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1
